[1][457/1410] acc_real: 0.0, acc_fake: NA
[1][458/1410] acc_real: 0.0, acc_fake: NA
[1][459/1410] acc_real: 0.015625, acc_fake: NA
[1][460/1410] acc_real: 0.0078125, acc_fake: NA
[1][461/1410] acc_real: 0.0078125, acc_fake: NA
[1][462/1410] acc_real: 0.0, acc_fake: NA
[1][463/1410] acc_real: 0.0, acc_fake: NA
[1][464/1410] acc_real: 0.0, acc_fake: NA
[1][465/1410] acc_real: 0.0078125, acc_fake: NA
[1][466/1410] acc_real: 0.0078125, acc_fake: NA
[1][467/1410] acc_real: 0.0, acc_fake: NA
[1][468/1410] acc_real: 0.0078125, acc_fake: NA
[1][469/1410] acc_real: 0.0, acc_fake: NA
[1][470/1410] acc_real: 0.0, acc_fake: NA
[1][471/1410] acc_real: 0.0, acc_fake: NA
[1][472/1410] acc_real: 0.0078125, acc_fake: NA
[1][473/1410] acc_real: 0.0234375, acc_fake: NA
[1][474/1410] acc_real: 0.0, acc_fake: NA
[1][475/1410] acc_real: 0.0, acc_fake: NA
[1][476/1410] acc_real: 0.0078125, acc_fake: NA
[1][477/1410] acc_real: 0.0, acc_fake: NA
[1][478/1410] acc_real: 0.0, acc_fake: NA
[1][479/1410] acc_real: 0.015625, acc_fake: NA
[1][480/1410] acc_real: 0.0, acc_fake: NA
[1][481/1410] acc_real: 0.0078125, acc_fake: NA
[1][482/1410] acc_real: 0.015625, acc_fake: NA
[1][483/1410] acc_real: 0.0078125, acc_fake: NA
[1][484/1410] acc_real: 0.0, acc_fake: NA
[1][485/1410] acc_real: 0.0, acc_fake: NA
[1][486/1410] acc_real: 0.0, acc_fake: NA
[1][487/1410] acc_real: 0.0078125, acc_fake: NA
[1][488/1410] acc_real: 0.0, acc_fake: NA
[1][489/1410] acc_real: 0.0, acc_fake: NA
[1][490/1410] acc_real: 0.0, acc_fake: NA
[1][491/1410] acc_real: 0.0078125, acc_fake: NA
[1][492/1410] acc_real: 0.0078125, acc_fake: NA
[1][493/1410] acc_real: 0.0, acc_fake: NA
[1][494/1410] acc_real: 0.0, acc_fake: NA
[1][495/1410] acc_real: 0.0078125, acc_fake: NA
[1][496/1410] acc_real: 0.0078125, acc_fake: NA
[1][497/1410] acc_real: 0.0, acc_fake: NA
[1][498/1410] acc_real: 0.0078125, acc_fake: NA
[1][499/1410] acc_real: 0.0078125, acc_fake: NA
